,time(s),pressure_1(bar),main_pressure(bar),venturi_pressure_1(bar),venturi_pressure_2(bar),venturi_pressure_3(bar),venturi_pressure_4(bar),venturi_pressure_5(bar),pump_speed(rpm),water_temp(c),reserved,outlet_flowrate(lpm),inlet_flowrate(lpm),test_case,test_case_iter,nozzle_len(mm),nozzle_dia(mm),venturi_dist(mm)
144,14.4,-0.11,3.01,3.1,0.09,0.1,0.14,0.12,578.57,28.47,0.0,109.91,-3.1,1.0,1.0,12.0,12.0,0.0
145,14.5,-0.08,3.11,3.04,-0.01,0.04,0.1,0.12,593.19,28.48,0.0,117.78,-2.96,1.0,1.0,12.0,12.0,0.0
146,14.6,-0.08,2.87,3.02,0.01,0.07,0.18,0.21,593.0,28.48,0.0,124.79,-2.47,1.0,1.0,12.0,12.0,0.0
147,14.7,-0.1,3.02,3.07,0.09,0.09,0.17,0.13,579.65,28.47,0.0,134.23,-2.48,1.0,1.0,12.0,12.0,0.0
148,14.8,-0.09,3.04,3.04,0.01,0.01,0.13,0.12,593.32,28.49,0.0,143.06,-2.83,1.0,1.0,12.0,12.0,0.0
149,14.9,-0.09,2.85,3.0,0.01,0.07,0.19,0.19,603.22,28.47,0.0,147.69,-2.94,1.0,1.0,12.0,12.0,0.0
150,15.0,-0.1,3.07,3.09,0.07,0.1,0.15,0.13,584.41,28.5,0.0,148.31,-2.67,1.0,1.0,12.0,12.0,0.0
151,15.1,-0.08,3.1,3.05,0.01,0.0,0.08,0.12,599.11,28.43,0.0,155.16,-2.52,1.0,1.0,12.0,12.0,0.0
152,15.2,-0.1,2.84,2.98,0.0,0.1,0.12,0.17,603.05,28.45,0.0,155.09,-2.69,1.0,1.0,12.0,12.0,0.0
153,15.3,-0.11,3.1,3.06,0.09,0.08,0.15,0.13,593.86,28.45,0.0,164.13,-3.02,1.0,1.0,12.0,12.0,0.0
154,15.4,-0.07,3.16,3.02,0.01,0.03,0.13,0.11,625.39,28.46,0.0,171.52,-2.84,1.0,1.0,12.0,12.0,0.0
155,15.5,-0.16,3.03,3.0,0.01,0.1,0.16,0.17,651.62,28.45,0.0,180.22,-2.56,1.0,1.0,12.0,12.0,0.0
156,15.6,-0.13,3.08,3.1,0.09,0.08,0.17,0.13,677.21,28.44,0.0,188.44,-2.61,1.0,1.0,12.0,12.0,0.0
157,15.7,-0.11,3.14,3.2,0.01,0.03,0.11,0.08,696.27,28.52,0.0,198.86,-2.61,1.0,1.0,12.0,12.0,0.0
158,15.8,-0.13,3.04,3.15,0.01,0.09,0.21,0.19,709.79,28.51,0.0,208.32,-3.13,1.0,1.0,12.0,12.0,0.0
159,15.9,-0.13,3.22,3.28,0.09,0.1,0.16,0.13,730.72,28.53,0.0,209.73,-2.5,1.0,1.0,12.0,12.0,0.0
160,16.0,-0.1,3.28,3.31,0.01,0.03,0.15,0.14,743.76,28.56,0.0,210.23,-2.2,1.0,1.0,12.0,12.0,0.0
161,16.1,-0.13,3.3,3.37,0.0,0.06,0.17,0.19,757.21,28.52,0.0,216.69,-2.37,1.0,1.0,12.0,12.0,0.0
162,16.2,-0.1,3.41,3.49,0.07,0.11,0.16,0.14,753.67,28.5,0.0,218.32,-3.44,1.0,1.0,12.0,12.0,0.0
163,16.3,-0.04,3.52,3.52,0.01,0.04,0.1,0.16,741.33,28.49,0.0,225.68,-3.29,1.0,1.0,12.0,12.0,0.0
164,16.4,-0.07,3.46,3.51,0.0,0.06,0.15,0.22,728.26,28.48,0.0,232.69,-2.65,1.0,1.0,12.0,12.0,0.0
165,16.5,-0.05,3.51,3.63,0.08,0.09,0.18,0.15,754.81,28.5,0.0,240.28,-2.48,1.0,1.0,12.0,12.0,0.0
166,16.6,-0.03,3.65,3.68,0.01,0.01,0.11,0.14,765.03,28.51,0.0,247.06,-2.63,1.0,1.0,12.0,12.0,0.0
167,16.7,-0.07,3.6,3.65,0.01,0.09,0.18,0.23,762.02,28.51,0.0,254.17,-2.92,1.0,1.0,12.0,12.0,0.0
168,16.8,-0.11,3.74,3.78,0.09,0.1,0.17,0.14,741.93,28.51,0.0,263.2,-3.31,1.0,1.0,12.0,12.0,0.0
169,16.9,-0.06,3.8,3.85,0.01,0.03,0.15,0.15,734.84,28.52,0.0,264.61,-2.61,1.0,1.0,12.0,12.0,0.0
170,17.0,-0.1,3.66,3.81,0.0,0.08,0.18,0.22,749.74,28.52,0.0,265.1,-2.56,1.0,1.0,12.0,12.0,0.0
171,17.1,-0.09,3.79,3.95,0.08,0.09,0.13,0.14,749.14,28.53,0.0,271.71,-3.02,1.0,1.0,12.0,12.0,0.0
172,17.2,-0.02,3.92,3.96,0.01,0.01,0.07,0.13,758.91,28.53,0.0,271.91,-2.98,1.0,1.0,12.0,12.0,0.0
173,17.3,-0.13,3.86,3.94,0.01,0.07,0.22,0.21,759.1,28.55,0.0,276.3,-2.68,1.0,1.0,12.0,12.0,0.0
174,17.4,-0.09,4.0,4.06,0.09,0.09,0.15,0.13,753.71,28.54,0.0,283.05,-2.57,1.0,1.0,12.0,12.0,0.0
175,17.5,-0.03,4.03,4.05,0.02,0.01,0.1,0.12,741.08,28.52,0.0,287.22,-2.72,1.0,1.0,12.0,12.0,0.0
176,17.6,-0.1,3.9,4.0,0.01,0.08,0.19,0.22,729.39,28.49,0.0,292.35,-3.32,1.0,1.0,12.0,12.0,0.0
177,17.7,-0.08,4.04,4.13,0.09,0.09,0.16,0.13,754.12,28.5,0.0,299.02,-3.23,1.0,1.0,12.0,12.0,0.0
178,17.8,-0.06,4.13,4.16,0.0,0.03,0.13,0.15,765.28,28.51,0.0,304.7,-2.46,1.0,1.0,12.0,12.0,0.0
179,17.9,-0.09,3.99,4.11,0.01,0.07,0.17,0.22,762.12,28.53,0.0,306.51,-2.45,1.0,1.0,12.0,12.0,0.0
180,18.0,-0.1,4.17,4.26,0.09,0.09,0.22,0.16,741.84,28.52,0.0,307.45,-2.78,1.0,1.0,12.0,12.0,0.0
181,18.1,-0.04,4.29,4.21,0.01,0.01,0.09,0.13,735.92,28.52,0.0,312.19,-3.35,1.0,1.0,12.0,12.0,0.0
182,18.2,-0.08,3.98,4.22,0.01,0.07,0.13,0.19,750.39,28.51,0.0,312.01,-3.16,1.0,1.0,12.0,12.0,0.0
183,18.3,-0.07,4.29,4.3,0.1,0.11,0.28,0.14,750.0,28.51,0.0,317.0,-2.61,1.0,1.0,12.0,12.0,0.0
184,18.4,-0.05,4.3,4.32,0.01,0.02,0.09,0.13,759.9,28.54,0.0,320.04,-2.39,1.0,1.0,12.0,12.0,0.0
185,18.5,-0.12,4.24,4.27,0.0,0.08,0.15,0.2,757.93,28.55,0.0,323.84,-2.76,1.0,1.0,12.0,12.0,0.0
186,18.6,-0.1,4.29,4.4,0.09,0.1,0.06,0.13,753.89,28.53,0.0,327.82,-2.91,1.0,1.0,12.0,12.0,0.0
187,18.7,-0.04,4.35,4.38,0.01,0.02,0.09,0.15,741.25,28.54,0.0,331.71,-2.96,1.0,1.0,12.0,12.0,0.0
188,18.8,-0.07,4.29,4.37,0.01,0.09,0.14,0.21,729.99,28.54,0.0,336.53,-2.8,1.0,1.0,12.0,12.0,0.0
189,18.9,-0.05,4.34,4.4,0.09,0.09,0.14,0.14,754.98,28.49,0.0,338.34,-2.67,1.0,1.0,12.0,12.0,0.0
190,19.0,-0.03,4.51,4.48,0.01,0.02,0.11,0.15,764.43,28.53,0.0,337.88,-2.7,1.0,1.0,12.0,12.0,0.0
191,19.1,-0.1,4.37,4.44,0.01,0.07,0.19,0.23,763.22,28.51,0.0,340.33,-2.65,1.0,1.0,12.0,12.0,0.0
192,19.2,-0.08,4.5,4.48,0.08,0.09,0.13,0.12,742.8,28.5,0.0,341.31,-2.38,1.0,1.0,12.0,12.0,0.0
193,19.3,-0.04,4.48,4.51,0.01,0.0,0.11,0.16,735.04,28.51,0.0,343.25,-2.88,1.0,1.0,12.0,12.0,0.0
194,19.4,-0.1,4.44,4.47,0.0,0.07,0.17,0.2,756.29,28.53,0.0,347.04,-2.83,1.0,1.0,12.0,12.0,0.0
195,19.5,-0.11,4.45,4.57,0.09,0.1,0.17,0.12,751.31,28.52,0.0,350.27,-2.81,1.0,1.0,12.0,12.0,0.0
196,19.6,-0.04,4.7,4.55,0.01,0.0,0.06,0.13,762.08,28.54,0.0,352.89,-2.52,1.0,1.0,12.0,12.0,0.0
197,19.7,-0.09,4.45,4.51,0.01,0.08,0.2,0.2,769.07,28.53,0.0,355.15,-2.42,1.0,1.0,12.0,12.0,0.0
198,19.8,-0.09,4.51,4.6,0.1,0.09,0.15,0.11,762.65,28.53,0.0,358.32,-2.67,1.0,1.0,12.0,12.0,0.0
199,19.9,-0.05,4.64,4.59,0.01,0.01,0.15,0.12,760.18,28.53,0.0,358.89,-3.3,1.0,1.0,12.0,12.0,0.0
200,20.0,-0.09,4.48,4.55,0.01,0.08,0.12,0.2,739.18,28.56,0.0,359.21,-2.98,1.0,1.0,12.0,12.0,0.0
201,20.1,-0.1,4.51,4.68,0.09,0.09,0.14,0.14,728.04,28.55,0.0,362.11,-2.73,1.0,1.0,12.0,12.0,0.0
202,20.2,-0.05,4.32,4.65,0.0,0.01,0.11,0.13,753.79,28.58,0.0,362.35,-2.09,1.0,1.0,12.0,12.0,0.0
203,20.3,-0.11,4.72,4.61,0.0,0.08,0.21,0.22,759.05,28.55,0.0,362.83,-2.86,1.0,1.0,12.0,12.0,0.0
204,20.4,-0.09,4.59,4.55,0.09,0.1,0.19,0.12,761.06,28.55,0.0,364.75,-3.21,1.0,1.0,12.0,12.0,0.0
205,20.5,-0.06,4.74,4.66,0.0,0.01,0.05,0.14,748.75,28.52,0.0,366.91,-3.04,1.0,1.0,12.0,12.0,0.0
206,20.6,-0.11,4.45,4.6,0.0,0.07,0.15,0.2,743.8,28.53,0.0,369.41,-2.59,1.0,1.0,12.0,12.0,0.0
207,20.7,-0.11,4.35,4.62,0.09,0.08,0.1,0.13,746.39,28.52,0.0,372.6,-2.61,1.0,1.0,12.0,12.0,0.0
208,20.8,-0.02,4.79,4.61,0.01,0.01,0.08,0.13,738.06,28.55,0.0,374.75,-2.78,1.0,1.0,12.0,12.0,0.0
209,20.9,-0.09,4.39,4.52,0.01,0.08,0.12,0.21,756.27,28.55,0.0,374.12,-3.25,1.0,1.0,12.0,12.0,0.0
210,21.0,-0.1,4.38,4.68,0.09,0.09,0.21,0.14,764.89,28.54,0.0,374.1,-2.98,1.0,1.0,12.0,12.0,0.0
211,21.1,-0.05,4.54,4.6,0.01,0.01,0.04,0.13,758.68,28.55,0.0,375.94,-2.47,1.0,1.0,12.0,12.0,0.0
212,21.2,-0.1,4.6,4.53,0.01,0.07,0.14,0.17,738.29,28.55,0.0,377.18,-2.83,1.0,1.0,12.0,12.0,0.0
213,21.3,-0.12,4.59,4.7,0.09,0.09,0.06,0.11,727.53,28.54,0.0,379.09,-3.2,1.0,1.0,12.0,12.0,0.0
214,21.4,-0.07,4.65,4.73,0.01,0.02,0.01,0.12,752.85,28.56,0.0,379.81,-3.09,1.0,1.0,12.0,12.0,0.0
215,21.5,-0.09,4.42,4.61,0.02,0.06,0.17,0.19,760.35,28.58,0.0,380.55,-2.62,1.0,1.0,12.0,12.0,0.0
216,21.6,-0.1,4.61,4.68,0.08,0.09,0.13,0.11,763.09,28.55,0.0,382.5,-2.3,1.0,1.0,12.0,12.0,0.0
217,21.7,-0.06,4.68,4.7,0.0,0.01,0.04,0.12,750.67,28.56,0.0,383.9,-2.73,1.0,1.0,12.0,12.0,0.0
218,21.8,-0.1,4.6,4.65,0.01,0.06,0.18,0.2,743.97,28.57,0.0,386.72,-3.4,1.0,1.0,12.0,12.0,0.0
219,21.9,-0.07,4.62,4.74,0.08,0.11,0.09,0.15,745.17,28.57,0.0,387.06,-2.99,1.0,1.0,12.0,12.0,0.0
220,22.0,-0.05,4.8,4.67,0.01,0.0,0.06,0.13,736.4,28.58,0.0,386.66,-2.49,1.0,1.0,12.0,12.0,0.0
221,22.1,-0.12,4.64,4.69,0.01,0.07,0.18,0.17,756.44,28.55,0.0,387.68,-2.22,1.0,1.0,12.0,12.0,0.0
222,22.2,-0.11,4.71,4.75,0.09,0.09,0.05,0.1,764.99,28.51,0.0,388.11,-2.65,1.0,1.0,12.0,12.0,0.0
223,22.3,-0.07,4.79,4.75,0.01,-0.01,0.07,0.14,760.52,28.54,0.0,389.07,-3.15,1.0,1.0,12.0,12.0,0.0
224,22.4,-0.1,4.7,4.65,0.0,0.08,0.13,0.18,738.17,28.55,0.0,390.63,-3.22,1.0,1.0,12.0,12.0,0.0
225,22.5,-0.09,4.68,4.78,0.09,0.09,0.1,0.09,727.26,28.55,0.0,392.14,-2.63,1.0,1.0,12.0,12.0,0.0
226,22.6,-0.04,4.69,4.81,0.01,0.0,0.06,0.11,752.42,28.56,0.0,393.31,-2.22,1.0,1.0,12.0,12.0,0.0
227,22.7,-0.08,4.61,4.73,0.0,0.07,0.12,0.18,760.44,28.55,0.0,394.46,-2.46,1.0,1.0,12.0,12.0,0.0
228,22.8,-0.07,4.62,4.8,0.09,0.1,0.03,0.08,761.02,28.53,0.0,395.21,-2.87,1.0,1.0,12.0,12.0,0.0
229,22.9,-0.07,4.77,4.79,0.0,0.03,0.02,0.08,750.64,28.57,0.0,395.92,-3.02,1.0,1.0,12.0,12.0,0.0
230,23.0,-0.11,4.71,4.75,0.01,0.08,0.08,0.18,743.57,28.58,0.0,396.3,-2.64,1.0,1.0,12.0,12.0,0.0
231,23.1,-0.09,4.7,4.84,0.07,0.05,0.12,0.1,746.35,28.58,0.0,397.5,-2.62,1.0,1.0,12.0,12.0,0.0
232,23.2,-0.03,4.85,4.76,0.01,0.0,-0.05,0.09,738.05,28.6,0.0,398.07,-2.67,1.0,1.0,12.0,12.0,0.0
233,23.3,-0.08,4.7,4.75,0.01,0.08,0.07,0.18,757.26,28.57,0.0,405.17,-2.84,1.0,1.0,12.0,12.0,0.0
234,23.4,-0.05,4.73,4.86,0.08,0.11,0.09,0.09,768.85,28.56,0.0,411.4,-2.62,1.0,1.0,12.0,12.0,0.0
235,23.5,-0.04,4.86,4.81,-0.01,-0.01,0.07,0.14,760.26,28.57,0.0,418.9,-2.85,1.0,1.0,12.0,12.0,0.0
236,23.6,-0.07,4.71,4.76,-0.02,0.07,0.1,0.17,759.1,28.62,0.0,427.18,-2.71,1.0,1.0,12.0,12.0,0.0
237,23.7,-0.08,4.77,4.84,0.08,0.08,0.17,0.1,739.05,28.6,0.0,434.84,-2.94,1.0,1.0,12.0,12.0,0.0
238,23.8,-0.06,4.83,4.85,0.01,-0.01,0.02,0.08,735.83,28.56,0.0,445.18,-2.61,1.0,1.0,12.0,12.0,0.0
239,23.9,-0.09,4.58,4.79,0.02,0.07,0.11,0.18,750.08,28.55,0.0,446.6,-2.64,1.0,1.0,12.0,12.0,0.0
240,24.0,-0.09,4.76,4.87,0.08,0.09,0.08,0.09,748.63,28.54,0.0,446.37,-2.72,1.0,1.0,12.0,12.0,0.0
241,24.1,-0.04,4.8,4.82,-0.02,0.01,0.03,0.07,758.33,28.57,0.0,453.49,-3.0,1.0,1.0,12.0,12.0,0.0
242,24.2,-0.11,4.8,4.81,0.01,0.06,0.17,0.14,757.9,28.57,0.0,454.63,-3.11,1.0,1.0,12.0,12.0,0.0
243,24.3,-0.08,4.81,4.88,0.1,0.05,0.03,0.12,753.15,28.58,0.0,464.86,-2.71,1.0,1.0,12.0,12.0,0.0
244,24.4,-0.04,4.89,4.77,-0.02,0.0,0.08,0.09,739.91,28.59,0.0,474.46,-2.41,1.0,1.0,12.0,12.0,0.0
245,24.5,-0.11,4.77,4.97,0.03,0.03,0.13,0.25,728.07,28.56,0.0,484.58,-2.96,1.0,1.0,12.0,12.0,0.0
246,24.6,-0.05,4.73,4.95,0.09,0.12,0.21,0.21,754.62,28.58,0.0,496.54,-3.31,1.0,1.0,12.0,12.0,0.0
247,24.7,-0.06,4.94,4.98,0.04,0.04,0.07,0.25,765.72,28.59,0.0,509.53,-2.98,1.0,1.0,12.0,12.0,0.0
248,24.8,-0.1,4.85,4.84,0.01,0.04,0.01,0.16,761.17,28.6,0.0,521.88,-2.61,1.0,1.0,12.0,12.0,0.0
249,24.9,-0.1,4.84,5.02,0.1,0.07,0.0,0.15,742.06,28.6,0.0,523.78,-2.58,1.0,1.0,12.0,12.0,0.0
250,25.0,-0.08,4.95,4.85,-0.03,-0.03,-0.1,0.08,733.95,28.59,0.0,523.47,-2.74,1.0,1.0,12.0,12.0,0.0
251,25.1,-0.11,4.67,4.81,0.01,-0.07,0.04,0.29,750.34,28.58,0.0,532.44,-3.4,1.0,1.0,12.0,12.0,0.0
252,25.2,-0.09,4.91,4.99,0.1,0.05,0.06,0.14,749.45,28.61,0.0,533.86,-2.7,1.0,1.0,12.0,12.0,0.0
253,25.3,-0.02,4.9,4.87,-0.01,-0.08,0.0,0.19,758.82,28.6,0.0,543.11,-2.48,1.0,1.0,12.0,12.0,0.0
254,25.4,-0.13,4.8,4.91,0.02,0.09,0.02,0.24,759.24,28.63,0.0,550.71,-2.57,1.0,1.0,12.0,12.0,0.0
255,25.5,-0.09,4.96,5.02,0.06,0.01,0.0,0.14,753.42,28.57,0.0,558.37,-2.98,1.0,1.0,12.0,12.0,0.0
256,25.6,-0.05,4.95,5.03,0.03,0.12,0.19,0.17,740.69,28.57,0.0,567.31,-3.12,1.0,1.0,12.0,12.0,0.0
257,25.7,-0.12,4.95,5.1,-0.03,0.02,0.11,0.12,728.1,28.55,0.0,578.02,-2.66,1.0,1.0,12.0,12.0,0.0
258,25.8,-0.09,4.92,4.96,0.11,0.1,0.07,0.17,754.4,28.57,0.0,587.34,-2.34,1.0,1.0,12.0,12.0,0.0
259,25.9,-0.08,5.07,5.12,-0.07,-0.12,-0.15,0.07,765.74,28.57,0.0,588.43,-2.68,1.0,1.0,12.0,12.0,0.0
260,26.0,-0.11,4.86,5.05,0.04,0.08,0.23,0.2,761.26,28.61,0.0,588.06,-2.99,1.0,1.0,12.0,12.0,0.0
261,26.1,-0.09,5.15,5.1,0.12,-0.03,-0.1,0.02,741.9,28.59,0.0,595.23,-2.89,1.0,1.0,12.0,12.0,0.0
262,26.2,-0.07,5.19,5.06,0.0,-0.01,0.33,0.13,734.34,28.59,0.0,596.38,-2.5,1.0,1.0,12.0,12.0,0.0
263,26.3,-0.08,4.95,5.02,-0.02,-0.04,-0.06,0.16,751.43,28.59,0.0,602.46,-2.47,1.0,1.0,12.0,12.0,0.0
264,26.4,-0.05,5.15,5.13,0.05,0.09,-0.01,0.13,750.5,28.59,0.0,608.62,-2.72,1.0,1.0,12.0,12.0,0.0
265,26.5,-0.05,5.12,5.08,0.0,-0.02,-0.1,0.17,759.56,28.6,0.0,613.64,-2.95,1.0,1.0,12.0,12.0,0.0
266,26.6,-0.13,5.09,5.12,0.03,0.06,0.17,0.18,756.54,28.61,0.0,619.27,-2.74,1.0,1.0,12.0,12.0,0.0
267,26.7,-0.1,5.15,5.25,0.1,0.1,0.09,0.06,753.04,28.61,0.0,626.61,-2.48,1.0,1.0,12.0,12.0,0.0
268,26.8,-0.07,5.12,5.1,0.01,0.04,0.21,0.14,740.45,28.62,0.0,634.35,-2.21,1.0,1.0,12.0,12.0,0.0
269,26.9,-0.12,5.09,5.21,0.03,0.06,-0.03,0.18,730.1,28.56,0.0,635.93,-2.72,1.0,1.0,12.0,12.0,0.0
270,27.0,-0.09,5.07,5.25,0.08,0.01,0.09,0.11,754.83,28.57,0.0,635.52,-3.2,1.0,1.0,12.0,12.0,0.0
271,27.1,-0.06,5.18,5.15,0.0,0.04,0.24,0.18,763.72,28.57,0.0,641.29,-2.66,1.0,1.0,12.0,12.0,0.0
272,27.2,-0.1,5.06,5.05,0.02,0.03,0.03,0.17,762.76,28.59,0.0,641.6,-2.29,1.0,1.0,12.0,12.0,0.0
273,27.3,-0.07,5.15,5.2,0.12,0.11,0.08,0.24,763.39,28.58,0.0,646.08,-2.75,1.0,1.0,12.0,12.0,0.0
274,27.4,-0.07,5.18,5.16,-0.03,0.04,0.1,0.12,742.53,28.59,0.0,650.63,-2.88,1.0,1.0,12.0,12.0,0.0
275,27.5,-0.11,5.05,5.1,0.03,0.12,0.02,0.23,756.38,28.58,0.0,654.6,-3.05,1.0,1.0,12.0,12.0,0.0
276,27.6,-0.09,5.07,5.23,0.07,0.06,0.08,0.09,751.69,28.59,0.0,659.24,-2.71,1.0,1.0,12.0,12.0,0.0
277,27.7,-0.07,5.2,5.02,-0.01,0.0,0.04,0.15,738.23,28.6,0.0,665.58,-2.35,1.0,1.0,12.0,12.0,0.0
278,27.8,-0.1,5.05,5.02,0.04,0.12,0.21,0.21,755.72,28.6,0.0,671.48,-2.71,1.0,1.0,12.0,12.0,0.0
279,27.9,-0.09,5.1,5.3,0.08,0.07,0.03,0.06,763.11,28.62,0.0,672.36,-2.94,1.0,1.0,12.0,12.0,0.0
280,28.0,-0.05,5.1,5.1,-0.05,0.0,-0.08,0.1,759.58,28.62,0.0,671.23,-2.93,1.0,1.0,12.0,12.0,0.0
281,28.1,-0.12,5.0,5.13,0.03,0.08,0.18,0.22,737.78,28.6,0.0,674.98,-2.71,1.0,1.0,12.0,12.0,0.0
282,28.2,-0.07,5.17,5.11,0.08,0.1,0.12,0.1,727.7,28.61,0.0,675.75,-2.71,1.0,1.0,12.0,12.0,0.0
283,28.3,-0.01,4.91,5.25,0.0,0.02,0.19,0.17,753.34,28.59,0.0,679.31,-2.8,1.0,1.0,12.0,12.0,0.0
284,28.4,-0.07,5.02,5.08,0.05,0.09,0.09,0.19,761.18,28.58,0.0,681.03,-2.99,1.0,1.0,12.0,12.0,0.0
285,28.5,-0.05,5.09,5.17,0.11,0.09,0.15,0.17,761.0,28.6,0.0,682.72,-2.76,1.0,1.0,12.0,12.0,0.0
286,28.6,-0.07,5.13,4.92,-0.01,0.01,0.1,0.16,748.34,28.6,0.0,683.91,-2.67,1.0,1.0,12.0,12.0,0.0
287,28.7,-0.12,5.03,5.02,0.0,0.07,0.14,0.21,744.84,28.58,0.0,686.09,-2.88,1.0,1.0,12.0,12.0,0.0
288,28.8,-0.08,5.02,5.15,0.09,0.06,-0.01,0.18,746.32,28.59,0.0,689.33,-3.16,1.0,1.0,12.0,12.0,0.0
289,28.9,-0.05,5.05,5.3,-0.05,-0.01,0.08,0.03,738.17,28.6,0.0,691.23,-2.98,1.0,1.0,12.0,12.0,0.0
290,29.0,-0.06,4.87,4.99,0.04,0.1,0.18,0.21,757.33,28.62,0.0,689.43,-2.36,1.0,1.0,12.0,12.0,0.0
291,29.1,-0.09,5.03,5.06,0.05,0.08,0.03,0.13,762.15,28.63,0.0,691.24,-2.75,1.0,1.0,12.0,12.0,0.0
292,29.2,-0.05,5.02,5.55,-0.02,-0.05,0.01,0.23,758.47,28.63,0.0,690.56,-2.74,1.0,1.0,12.0,12.0,0.0
293,29.3,-0.1,4.94,4.8,0.07,0.1,0.31,0.15,738.54,28.59,0.0,693.37,-3.16,1.0,1.0,12.0,12.0,0.0
294,29.4,-0.09,5.14,5.09,0.07,0.06,0.01,0.11,730.17,28.61,0.0,694.89,-2.74,1.0,1.0,12.0,12.0,0.0
295,29.5,-0.04,4.9,5.06,-0.01,0.01,0.13,0.17,752.62,28.62,0.0,696.63,-2.43,1.0,1.0,12.0,12.0,0.0
296,29.6,-0.11,4.88,5.0,0.06,0.09,0.07,0.16,758.8,28.64,0.0,695.95,-2.42,1.0,1.0,12.0,12.0,0.0
297,29.7,-0.07,5.02,5.12,0.06,0.06,0.09,0.04,760.56,28.62,0.0,697.18,-3.09,1.0,1.0,12.0,12.0,0.0
298,29.8,-0.07,5.04,5.04,-0.01,0.0,0.1,0.16,749.25,28.6,0.0,698.56,-3.0,1.0,1.0,12.0,12.0,0.0
299,29.9,-0.11,5.01,4.99,0.05,0.11,0.26,0.22,745.02,28.55,0.0,700.05,-2.86,1.0,1.0,12.0,12.0,0.0
300,30.0,-0.05,5.05,5.08,0.07,0.06,0.04,0.05,745.99,28.59,0.0,700.81,-2.47,1.0,1.0,12.0,12.0,0.0
